lag_s,AIBL,AVEL,AVAL,RIML,ASEL,ASER,AWAL,AWCL
11.995983129142399,-0.03802202581214505,-0.02911285600566054,-0.02799620032447154,-0.0236912586660825,0.02990777800116928,0.05054367740405013,0.0031905254071811382,0.056390480309829905
12.3708576019281,-0.03741784216055925,-0.028752119830659017,-0.027343417405648728,-0.022874869392198627,0.029063115102393233,0.04818518554522102,0.0005695583330036851,0.06064521676663713
12.745732074713798,-0.03715910592380758,-0.028506853129277775,-0.026551793973587583,-0.022132220100299135,0.027729015946315404,0.04582891802130975,-0.002132754611356866,0.06481767799054217
13.120606547499499,-0.036391688400994694,-0.02812148594085026,-0.025759896187370512,-0.02133870437389184,0.027016104376180256,0.04349132065567617,-0.00473539209129959,0.06902398954413115
13.4954810202852,-0.035761651218721095,-0.02761459211156888,-0.024984872480720847,-0.020539239452362797,0.02611017855870426,0.04071994613618448,-0.006408744036508558,0.07287288756883269
13.870355493070898,-0.03496381894393742,-0.027167888863884826,-0.024256427758481882,-0.01952411023121995,0.025423473472766456,0.03784062906117276,-0.008069237614130888,0.07575658813817711
14.245229965856598,-0.03455092158031402,-0.026690369666145287,-0.023433731632181997,-0.01881589266803702,0.024163142257637216,0.035137355346823294,-0.01011126058044828,0.0782256486882906
14.620104438642299,-0.034080288444984584,-0.026044121312868915,-0.022622668420420846,-0.018039114335266015,0.023018524548464016,0.032336528660659614,-0.011580352499935612,0.08057628098207703
14.994978911427998,-0.03353586576037234,-0.025364199895444348,-0.021853371359870918,-0.01717377944939639,0.022013460941023615,0.029482189776239287,-0.0129476620581848,0.08262971995680889
15.369853384213698,-0.03280876304979856,-0.024768636032799756,-0.02115102495293787,-0.016451443669452497,0.021033143196759543,0.025890047244582097,-0.014491590859457044,0.08459009065198954
15.744727856999399,-0.03201379672609475,-0.02415161046602767,-0.020215584451562303,-0.01561855422249408,0.019969749907271815,0.022091070685661667,-0.01594536329479351,0.08532344930614405
16.1196023297851,-0.031065044007248063,-0.02345909055685935,-0.019428981817673524,-0.014751943371725015,0.018975227685301705,0.01807912182576714,-0.016990066620296465,0.08542605464960606
